sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,habitatId,habitatName,localityId,localityName,decimalLatitude,decimalLongitude,depth,altitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
,,Sturnus vulgaris,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Turdus philomelos,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Turdus merula,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Turdus viscivorus,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Turdus iliacus,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Turdus torquatus,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Erithacus rubecula,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Sylvia atricapilla,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Chloris chloris,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Parus major,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Taxus baccata,,Aral,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Hageneder, F. (2007) Yew: a history. United Kingdom: Sutton."
,,Inocybe longicystis,,,,,,,http://purl.obolibrary.org/obo/RO_0002442,mutualistically interacts with,,,Picea sitchensis,,Roots,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Lactarius rufus,,,,,,,http://purl.obolibrary.org/obo/RO_0002442,mutualistically interacts with,,,Picea sitchensis,,Roots,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Cortinarius croceus,,,,,,,http://purl.obolibrary.org/obo/RO_0002442,mutualistically interacts with,,,Picea sitchensis,,Roots,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Heterobasidium annosum,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Picea sitchensis,,Roots,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Heterobasidium annosum,,,,,,,http://purl.obolibrary.org/obo/RO_0002471,eats,,,Picea sitchensis,,Stump,http://purl.obolibrary.org/obo/PATO_0001422,dead,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Tetrao urogallus,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Picea sitchensis,,Leaves,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Loxia scotica,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Picea sitchensis,,Seed,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
,,Loxia curvirostra,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,,Picea sitchensis,,Seed,http://purl.obolibrary.org/obo/PATO_0001421,alive,,,,,GEONAMES:2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,,"Tittensor, R. (2016). Shades of Green An Environmentla and Cultural History of Sitka Spruce. United Kingdom: Windgather Press."
